Id,Team 1,Team 2,Winner,Margin,win_by_run,win_by_wicket,Ground,Match Date,Scorecard
1,New Zealand,Pakistan,New Zealand,61 runs,61 runs,,Wellington,6-Jan-18,ODI # 3946
2,New Zealand,Pakistan,New Zealand,8 wickets,,8 wickets,Nelson,9-Jan-18,ODI # 3947
3,U.A.E.,Ireland,Ireland,4 wickets,,4 wickets,ICCA Dubai,11-Jan-18,ODI # 3948
4,New Zealand,Pakistan,New Zealand,183 runs,183 runs,,Dunedin,13-Jan-18,ODI # 3949
5,U.A.E.,Ireland,Ireland,67 runs,67 runs,,ICCA Dubai,13-Jan-18,ODI # 3950
6,Australia,England,England,5 wickets,,5 wickets,Melbourne,14-Jan-18,ODI # 3951
7,Bangladesh,Zimbabwe,Bangladesh,8 wickets,,8 wickets,Dhaka,15-Jan-18,ODI # 3952
8,New Zealand,Pakistan,New Zealand,5 wickets,,5 wickets,Hamilton,16-Jan-18,ODI # 3953
9,Ireland,Scotland,Ireland,6 wickets,,6 wickets,ICCA Dubai,16-Jan-18,ODI # 3954
10,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,12 runs,,Dhaka,17-Jan-18,ODI # 3955
11,Ireland,Scotland,Ireland,24 runs,24 runs,,ICCA Dubai,18-Jan-18,ODI # 3956
12,New Zealand,Pakistan,New Zealand,15 runs,15 runs,,Wellington,19-Jan-18,ODI # 3957
13,Australia,England,England,4 wickets,,4 wickets,Brisbane,19-Jan-18,ODI # 3958
14,Bangladesh,Sri Lanka,Bangladesh,163 runs,163 runs,,Dhaka,19-Jan-18,ODI # 3959
15,Australia,England,England,16 runs,16 runs,,Sydney,21-Jan-18,ODI # 3960
16,U.A.E.,Scotland,Scotland,31 runs,31 runs,,ICCA Dubai,21-Jan-18,ODI # 3961
17,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,,5 wickets,Dhaka,21-Jan-18,ODI # 3962
18,U.A.E.,Scotland,U.A.E.,4 wickets,,4 wickets,ICCA Dubai,23-Jan-18,ODI # 3963
19,Bangladesh,Zimbabwe,Bangladesh,91 runs,91 runs,,Dhaka,23-Jan-18,ODI # 3964
20,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,,10 wickets,Dhaka,25-Jan-18,ODI # 3965
21,Australia,England,Australia,3 wickets,,3 wickets,Adelaide,26-Jan-18,ODI # 3966
22,Bangladesh,Sri Lanka,Sri Lanka,79 runs,79 runs,,Dhaka,27-Jan-18,ODI # 3967
23,Australia,England,England,12 runs,12 runs,,Perth,28-Jan-18,ODI # 3968
24,South Africa,India,India,6 wickets,,6 wickets,Durban,1-Feb-18,ODI # 3969
25,South Africa,India,India,9 wickets,,9 wickets,Centurion,4-Feb-18,ODI # 3970
26,South Africa,India,India,124 runs,124 runs,,Cape Town,7-Feb-18,ODI # 3971
27,Afghanistan,Zimbabwe,Afghanistan,154 runs,154 runs,,Sharjah,9-Feb-18,ODI # 3972
